word,polarity
able,positive
achieve,positive
achieved,positive
achievement,positive
achievements,positive
achieves,positive
achieving,positive
advance,positive
advanced,positive
advances,positive
advancing,positive
advantage,positive
advantages,positive
advantageous,positive
beneficial,positive
benefit,positive
benefits,positive
benefited,positive
benefiting,positive
best,positive
better,positive
boom,positive
boosted,positive
boosting,positive
boosts,positive
bullish,positive
compliment,positive
complimented,positive
complimentary,positive
constructive,positive
constructively,positive
conviction,positive
convincing,positive
convincingly,positive
courteous,positive
create,positive
created,positive
creates,positive
creating,positive
creative,positive
creativity,positive
delight,positive
delighted,positive
delightful,positive
delightfully,positive
desirable,positive
despite,positive
destined,positive
dream,positive
dreams,positive
eager,positive
eagerly,positive
easier,positive
easily,positive
easy,positive
effective,positive
effectively,positive
efficiencies,positive
efficiency,positive
efficient,positive
efficiently,positive
empower,positive
empowered,positive
empowerment,positive
enable,positive
enabled,positive
enables,positive
enabling,positive
encouraged,positive
encouraging,positive
enhance,positive
enhanced,positive
enhancement,positive
enhancements,positive
enhances,positive
enhancing,positive
enjoy,positive
enjoyable,positive
enjoyably,positive
enjoyed,positive
enjoying,positive
enjoys,positive
enthusiasm,positive
enthusiastic,positive
enthusiastically,positive
excel,positive
excelled,positive
excellence,positive
excellent,positive
excellently,positive
excelling,positive
excels,positive
exceptional,positive
exceptionally,positive
excited,positive
excitement,positive
exciting,positive
exclusive,positive
exclusively,positive
expand,positive
expanded,positive
expanding,positive
expands,positive
expansion,positive
expansions,positive
fantastic,positive
favorable,positive
favorably,positive
favored,positive
favorite,positive
favorites,positive
friendly,positive
gain,positive
gained,positive
gaining,positive
gains,positive
good,positive
great,positive
greater,positive
greatest,positive
greatly,positive
greatness,positive
grow,positive
growing,positive
grown,positive
grows,positive
growth,positive
happiest,positive
happily,positive
happiness,positive
happy,positive
highest,positive
honor,positive
honored,positive
honoring,positive
honors,positive
ideal,positive
ideally,positive
improve,positive
improved,positive
improvement,positive
improvements,positive
improves,positive
improving,positive
incredible,positive
incredibly,positive
influential,positive
informative,positive
ingenuity,positive
innovate,positive
innovated,positive
innovates,positive
innovating,positive
innovation,positive
innovations,positive
innovative,positive
innovativeness,positive
innovator,positive
innovators,positive
insightful,positive
inspiration,positive
inspirational,positive
inspire,positive
inspired,positive
inspires,positive
inspiring,positive
leader,positive
leadership,positive
leading,positive
leads,positive
loyal,positive
loyalty,positive
lucrative,positive
meritorious,positive
opportunities,positive
opportunity,positive
optimistic,positive
outperform,positive
outperformed,positive
outperforming,positive
outperforms,positive
outstanding,positive
perfect,positive
perfected,positive
perfection,positive
perfectly,positive
pleasant,positive
pleasantly,positive
pleased,positive
pleasure,positive
plentiful,positive
popular,positive
popularity,positive
positive,positive
positively,positive
preeminence,positive
preeminent,positive
premier,positive
premium,positive
proactive,positive
proactively,positive
productive,positive
proficient,positive
proficiently,positive
profit,positive
profitability,positive
profitable,positive
profitably,positive
profited,positive
profiting,positive
